id,productId,variantName,description,size,concentration,packaging,retailPrice,wholesalePrice,costPrice,initialStock,minStockLevel,isDeleted,createdAt,updatedAt,benefits,ingredients,usage
011b03cf-4b04-4596-8b2b-0fa089a7afc8,481f817d-cfc8-40e1-8764-cce199d0569a,Citronella Java Essential Oil - 30ml - GLASS_BOTTLE - 100%,Premium therapeutic-grade essential oil for aromatherapy and formulations.,30ml,100%,GLASS_BOTTLE,150.00,127.50,105.00,10,5,false,2025-12-09 19:00:14.388,2025-12-09 19:00:14.388,"[""Aromatherapy benefits"",""Natural fragrance"",""Skincare formulations"",""Wellness support""]","[""Cymbopogon nardus Oil""]",Add 3-5 drops to diffuser or dilute in carrier oil before topical use. Do not apply undiluted to skin.
78c13d14-9e61-41af-a810-5b3031a5fb93,ad986227-bb4f-475a-b6f5-7fb5200d2267,Jasmine Essential Oil - 30ml - GLASS_BOTTLE - 100%,Premium therapeutic-grade essential oil for aromatherapy and formulations.,30ml,100%,GLASS_BOTTLE,150.00,127.50,105.00,10,5,false,2025-12-09 19:00:14.388,2025-12-09 19:00:14.388,"[""Reduces appearance of fine lines"",""Promotes skin elasticity"",""Provides luxury fragrance"",""Balances skin tone""]","[""Jasminum sambac Oil""]",Add 3-5 drops to diffuser or dilute in carrier oil before topical use. Do not apply undiluted to skin.
7c569257-0628-4233-8c0f-e3cc12f3d237,77983eec-c04b-4fed-a58b-3c11f627a0eb,Peppermint Essential Oil - 30ml - GLASS_BOTTLE - 100%,Cooling and invigorating oil for skincare and scalp treatments with refreshing and stimulating effects.,30ml,100%,GLASS_BOTTLE,150.00,127.50,105.00,10,5,false,2025-12-09 19:00:14.388,2025-12-09 19:00:14.388,"[""Provides cooling sensation"",""Clears respiratory passages"",""Boosts mental clarity"",""Relieves muscle tension""]","[""Mentha piperita Oil""]",Add 3-5 drops to diffuser or dilute in carrier oil before topical use. Do not apply undiluted to skin.
815b3416-915f-40e0-896d-f0dbedfa81e1,8245a51f-754f-4971-9eb3-41a4427e7d08,Ajwain Essential Oil - 30ml - GLASS_BOTTLE - 100%,Premium therapeutic-grade essential oil for aromatherapy and formulations.,30ml,100%,GLASS_BOTTLE,150.00,127.50,105.00,10,5,false,2025-12-09 19:00:14.388,2025-12-09 19:00:14.388,"[""Aromatherapy benefits"",""Natural fragrance"",""Skincare formulations"",""Wellness support""]","[""Trachyspermum ammi Oil""]",Add 3-5 drops to diffuser or dilute in carrier oil before topical use. Do not apply undiluted to skin.
7625001b-6d36-4a79-bf0f-bd94fe847d2f,5d1cded8-4636-45a6-8ed4-5470504a349c,Citronella Essential Oil - 30ml - GLASS_BOTTLE - 100%,Premium therapeutic-grade essential oil for aromatherapy and formulations.,30ml,100%,GLASS_BOTTLE,150.00,127.50,105.00,10,5,false,2025-12-09 19:00:14.388,2025-12-09 19:00:14.388,"[""Aromatherapy benefits"",""Natural fragrance"",""Skincare formulations"",""Wellness support""]","[""Cymbopogon nardus Oil""]",Add 3-5 drops to diffuser or dilute in carrier oil before topical use. Do not apply undiluted to skin.
6207ddeb-098c-45d1-b126-b7a9023215ef,7ace617f-fbc4-4c36-a0c9-3f3d27d65930,South Juniper Berry Essential Oil - 30ml - GLASS_BOTTLE - 100%,Premium therapeutic-grade essential oil for aromatherapy and formulations.,30ml,100%,GLASS_BOTTLE,150.00,127.50,105.00,10,5,false,2025-12-09 19:00:14.388,2025-12-09 19:00:14.388,"[""Aromatherapy benefits"",""Natural fragrance"",""Skincare formulations"",""Wellness support""]","[""Juniperus communis Oil""]",Add 3-5 drops to diffuser or dilute in carrier oil before topical use. Do not apply undiluted to skin.
cb67b675-e5e4-4910-b4bc-0dba9c1cb21f,21f64540-9a1e-459c-8ac5-c95438a53c97,Petitgrain Essential Oil - 30ml - GLASS_BOTTLE - 100%,Premium therapeutic-grade essential oil for aromatherapy and formulations.,30ml,100%,GLASS_BOTTLE,150.00,127.50,105.00,10,5,false,2025-12-09 19:00:14.388,2025-12-09 19:00:14.388,"[""Aromatherapy benefits"",""Natural fragrance"",""Skincare formulations"",""Wellness support""]","[""Citrus aurantium ssp. amara Oil""]",Add 3-5 drops to diffuser or dilute in carrier oil before topical use. Do not apply undiluted to skin.
071703ff-b55c-4170-8351-cd831d989c5d,c3938c7c-9526-48c0-a399-7742245e4a72,Amyris Essential Oil - 30ml - GLASS_BOTTLE - 100%,Premium therapeutic-grade essential oil for aromatherapy and formulations.,30ml,100%,GLASS_BOTTLE,150.00,127.50,105.00,10,5,false,2025-12-09 19:00:14.388,2025-12-09 19:00:14.388,"[""Aromatherapy benefits"",""Natural fragrance"",""Skincare formulations"",""Wellness support""]","[""Amyris balsamifera Oil""]",Add 3-5 drops to diffuser or dilute in carrier oil before topical use. Do not apply undiluted to skin.
110811a8-6a98-4e25-a368-cc27f19f4e89,eac5a5d6-6d07-448b-89bc-5596e6f4a073,Clary Sage Essential Oil - 30ml - GLASS_BOTTLE - 100%,Premium therapeutic-grade essential oil for aromatherapy and formulations.,30ml,100%,GLASS_BOTTLE,150.00,127.50,105.00,10,5,false,2025-12-09 19:00:14.388,2025-12-09 19:00:14.388,"[""Aromatherapy benefits"",""Natural fragrance"",""Skincare formulations"",""Wellness support""]","[""Salvia sclarea Oil""]",Add 3-5 drops to diffuser or dilute in carrier oil before topical use. Do not apply undiluted to skin.
1e16ff0a-d5df-4413-8b1b-866c0429dcdf,7f25119a-b476-4649-8da6-60baf72e479e,Sage Essential Oil - 30ml - GLASS_BOTTLE - 100%,Premium therapeutic-grade essential oil for aromatherapy and formulations.,30ml,100%,GLASS_BOTTLE,150.00,127.50,105.00,10,5,false,2025-12-09 19:00:14.388,2025-12-09 19:00:14.388,"[""Aromatherapy benefits"",""Natural fragrance"",""Skincare formulations"",""Wellness support""]","[""Salvia officinalis Oil""]",Add 3-5 drops to diffuser or dilute in carrier oil before topical use. Do not apply undiluted to skin.
1e020b90-9ce0-40a1-9d7f-584eaf5782ec,21982b1d-39ce-4209-8f8e-c841d5e6e3fd,Lavender Essential Oil - 30ml - GLASS_BOTTLE - 100%,Premium therapeutic-grade lavender oil for aromatherapy and formulations with calming and balancing properties.,30ml,100%,GLASS_BOTTLE,150.00,127.50,105.00,10,5,false,2025-12-09 19:00:14.388,2025-12-09 19:00:14.388,"[""Promotes relaxation"",""Reduces stress and anxiety"",""Improves sleep quality"",""Soothes skin irritation""]","[""Lavandula angustifolia Oil""]",Add 3-5 drops to diffuser or dilute in carrier oil before topical use. Do not apply undiluted to skin.
afe06838-91c9-40fc-be0c-57b0dbd4918b,a17baebc-f697-4867-88c9-41a3603d48a5,Aniseed Essential Oil - 30ml - GLASS_BOTTLE - 100%,Premium therapeutic-grade essential oil for aromatherapy and formulations.,30ml,100%,GLASS_BOTTLE,150.00,127.50,105.00,10,5,false,2025-12-09 19:00:14.388,2025-12-09 19:00:14.388,"[""Aromatherapy benefits"",""Natural fragrance"",""Skincare formulations"",""Wellness support""]","[""Pimpinella anisum Oil""]",Add 3-5 drops to diffuser or dilute in carrier oil before topical use. Do not apply undiluted to skin.
53d40f26-ff81-4b6d-aaca-5a47c4656ed6,cd32cc30-a1c6-47ec-ad5b-3edb38248dff,Clove Essential Oil - 30ml - GLASS_BOTTLE - 100%,Premium therapeutic-grade essential oil for aromatherapy and formulations.,30ml,100%,GLASS_BOTTLE,150.00,127.50,105.00,10,5,false,2025-12-09 19:00:14.388,2025-12-09 19:00:14.388,"[""Natural antiseptic properties"",""Helps clear acne"",""Supports scalp health"",""Freshens breath""]","[""Syzygium aromaticum Oil""]",Add 3-5 drops to diffuser or dilute in carrier oil before topical use. Do not apply undiluted to skin.
89720b2c-da0f-4ed4-adc5-3058bacba86a,302fce15-5ba3-4946-8d8e-633ebeb996dc,Lemon Essential Oil - 30ml - GLASS_BOTTLE - 100%,Bright citrus essential oil with uplifting aroma and natural cleansing properties.,30ml,100%,GLASS_BOTTLE,150.00,127.50,105.00,10,5,false,2025-12-09 19:00:14.388,2025-12-09 19:00:14.388,"[""Brightens dull skin"",""Natural degreaser"",""Uplifting aroma"",""Supports immune function""]","[""Citrus limon Oil""]",Add 3-5 drops to diffuser or dilute in carrier oil before topical use. Do not apply undiluted to skin.
128a9e8d-fc11-4a4b-b1b9-6c3a56212daf,7861210b-1ad0-4c44-8644-741332d27fa7,Rose Essential Oil - 30ml - GLASS_BOTTLE - 100%,Precious floral oil for luxury skincare formulations with premium fragrance and skin benefits.,30ml,100%,GLASS_BOTTLE,150.00,127.50,105.00,10,5,false,2025-12-09 19:00:14.388,2025-12-09 19:00:14.388,"[""Promotes relaxation"",""Reduces stress and anxiety"",""Improves sleep quality"",""Soothes skin irritation""]","[""Rosa damascena Oil""]",Add 3-5 drops to diffuser or dilute in carrier oil before topical use. Do not apply undiluted to skin.
